uri,text,handle,labels,like_count,quote_count,repost_count,sentiment
at://did:plc:g6v6mlluhkaon6adnjokjnrw/app.bsky.feed.post/3lbygfs4u6c2k,like do NOT get this guy going on vaccines,fabfourloko.bsky.social,[],0,0,0,0.3612
at://did:plc:cwvkinipwxa2mme2owbb4j57/app.bsky.feed.post/3lbygeto7p22l,"A thread 🧵 1/4

Anthony Fauci called RFK Jr. a liar for stating that not one of the 72 vaccines mandated for children has ever been safety tested*. 

In response, RFK Jr. took legal action, and after a year of delays, Fauci's lawyers conceded that RFK Jr. had been correct.",xhandler.bsky.social,[],0,0,0,0.0
at://did:plc:7fjae5aawatnt5e4hyldxsyn/app.bsky.feed.post/3lbygbdnxfs2a,"🚛❄️ #RefrigeratedTransport Market: Driving Global Supply Chains! 🌍
From fresh produce to #vaccines, temperature-controlled #logistics are more critical than ever. Explore the latest trends & growth!!
🔗 Explore: shorturl.at/QySAI
#ColdChain #MarketTrends #Chemical #RefrigeratedTrucks #BusinessGrowth",abhiksi.bsky.social,[],1,0,0,0.491
at://did:plc:mpdezz4nkre7vyift2rttggl/app.bsky.feed.post/3lbyg4p7vhc2c,"oh, another big question is how to handle communities that opt out. say there are amish that want to stay on earth living as their ancestors did - no drug glands, no retroviral sex changes, no vaccines or blood transfusion.",tachikoma.elsewhereunbound.com,[],0,0,0,-0.6486
at://did:plc:brelqoraumjfxnsbkbc4df56/app.bsky.feed.post/3lbyg42hesk2k,"the far left and far right both exhibit such paranoid tendencies. vaccines, fluoride, capitalism, homebuilders, etc.",capitalist.bsky.social,[],0,0,0,-0.25
at://did:plc:pwniptw5m3f6hwcbmu7o5sdc/app.bsky.feed.post/3lbyfzdjzus2a,"The biggest hoax put upon the American people. It's not climate change, it's not vaccines, or the pandemic..... It's recycling. And I don't see republicans talking about that. Because it protects the polluters. But all are complicit.",factsnotfiction.bsky.social,[],0,0,0,-0.2263
at://did:plc:5rauzenijpo3lv7b2zmkosu6/app.bsky.feed.post/3lbyfpmwclk2q,Vaccines work.,bubbejennifer.bsky.social,[],0,0,0,0.0
at://did:plc:e77iooquffvwinlrqzr6uysp/app.bsky.feed.post/3lbyfml6uhk2h,"RFK Jr & I are the same age. He had the polio, smallpox, DPT, MMR vaccines as a child. I hope he gets RSV, COVID, Shingles (from chicken pox virus) & flu all at the same time. Let’s see who wins THAT battle😡",tiredoldyarnho.bsky.social,[],0,0,0,0.34
at://did:plc:nc246pz3pyd5h32ws2js7hob/app.bsky.feed.post/3lbyflorjtc2v,"I am thankful for many things. But some of my top gratitudes go out to:
1. pasteurization 
2. USDA protecting our food supply 
3. vaccines 
4. Modern Obstetric and Gynecologic medicine 
5. Psychotropic medication 

Science saves lives. I am so thankful for it.",mallorymft.bsky.social,[],0,0,0,0.9034
at://did:plc:gi6dkclxiqhqja25plpu4mko/app.bsky.feed.post/3lbyfkqnhak2h,"Vaccines are right up there with:

-Electricity
-Indoor plumbing/waste water treatment
-Social Security

That have increased the human condition and experience.",rightsofman.bsky.social,[],4,0,0,0.5423
at://did:plc:xmaih7c5tze7ix3e7asyyesi/app.bsky.feed.post/3lbyfibyzu22s,He won’t do vaccines but he praises the heroin he shot into his veins. Got it.,crewweb.bsky.social,[],0,0,0,0.0772
at://did:plc:efxgem64nh7xglddp3qv2vwb/app.bsky.feed.post/3lbyfh3nwbl2u,"Trump's Nominee 4 US Health Czar RFK Jr: ..Getting jabbed with vaccines is ""Very Bad""...But getting jabbed with Heroin and Steroids is ""Very Good""

(RFK Jr was a heroin and cocaine addict for 10+ years and is now a multi-year Steroids addict)

youtu.be/cAuYKHAGLOA?...",kriskoles.bsky.social,[],0,0,0,-0.4951
at://did:plc:lym6bpoztczc6pcmtcof6eyz/app.bsky.feed.post/3lbyfftz4pk2f,"It is all true.  You’re denying the truth because you want to.  I get it, it feels safer.  Thinking the guy who published books claiming vaccine deaths from before the vaccines existed is just asking questions.  I can cite every one of my claims, to his own words.",sarcasticlee.bsky.social,[],0,0,0,0.7003
at://did:plc:mojxheuj5nis7373swfbhn6u/app.bsky.feed.post/3lbyfcbda6s25,Science wins again! HPV vaccines saving lives and proving that preventative medicine works. Love to see data-backed progress actually making a difference. Go humanity! #VaccinesWork #HPVPrevention #ScienceForTheWin,jrmsr.bsky.social,[],1,0,0,0.9059
at://did:plc:lym6bpoztczc6pcmtcof6eyz/app.bsky.feed.post/3lbyfagmbac2f,He brags about telling parents on hiking trails (or just strangers he meets) not to vaccinate.  He calls vaccines like a holocaust.  He claims they cause autism (disproven).  He said himself there was no such thing as a safe or effective vaccine.  He is firmly anti-vax.,sarcasticlee.bsky.social,[],0,0,0,0.743
at://did:plc:liplyyqldjwalcholhdtqyks/app.bsky.feed.post/3lbyf65hyks25,"Please. Ivermectin Bret has been bought and sold with his brother’s Thiel’s money.

He and Heather have been riding that victim-conservative grifter gravy train for years, spinning misinformation, lies of omission, and willful ‘ignorance’ into gold.

Vaccines save lives - this is known.",jasonbe.bsky.social,[],0,0,0,0.1027
at://did:plc:lym6bpoztczc6pcmtcof6eyz/app.bsky.feed.post/3lbyf56t5ts2f,"I have read his opinions, but I have a hard time getting through them because they are so bigoted and so massively, fundamentally wrong.  He brags about telling parents to not get any vaccines (this was pre-covid).  He doesn’t believe in a ton of viruses.  He doesn’t understand data.",sarcasticlee.bsky.social,[],0,0,0,-0.7307
at://did:plc:4hm6gb7dzobynqrpypif3dck/app.bsky.feed.post/3lbyf45iovn2r,"@dwnews: Fatal diseases such as measles and Hepatitis B are on the rise in Germany, despite accessible vaccines. 

Anti-vaccine social media, the COVID-19 pandemic, and imported cases are thought to be behind the drastic increase.

",news-feed.bsky.social,[],0,0,0,-0.296
at://did:plc:kjy623uon3ybk6722eausyb2/app.bsky.feed.post/3lbyeyvsm6k2h,More disinformation about vaccines. Does Ellis know how often kids died of diphtheria and polio before vaccines?,wendywalker.bsky.social,[],0,0,0,-0.5574
at://did:plc:lym6bpoztczc6pcmtcof6eyz/app.bsky.feed.post/3lbyeysxj5c2f,"We can see the data.  That’s already law.

He’s looking for and emphasizing lies.  He brags about telling parents not to get any vaccines.  He is an AIDS denialist and massively homophobic, on top of not understanding basic biology.  And refusing to listen to those who do.",sarcasticlee.bsky.social,[],0,0,0,-0.5719
at://did:plc:6uhdxxgv2xqzpqa7fhktz2tp/app.bsky.feed.post/3lbyewp2nvc2c,Vaccines work,dborbolla.bsky.social,[],0,0,0,0.0
at://did:plc:lym6bpoztczc6pcmtcof6eyz/app.bsky.feed.post/3lbyeuet4cs2f,"“I see somebody on a hiking trail carrying a little baby and I say to him, better not get them vaccinated,” Kennedy said.

Like, those are his exact words.  Don’t get vaccines for kids.  And he advises parents this.",sarcasticlee.bsky.social,[],0,0,0,0.6597
at://did:plc:fraqszif25gmolfuiq7zwiuu/app.bsky.feed.post/3lbyeqypvy32w,Wahhhh wahhhhhhh! I don’t understand science so vaccines are bad!!!! Wahhhh!!!!!,maddvann.bsky.social,[],2,0,0,-0.7124
at://did:plc:4rdqc2odeatttbclzi335em4/app.bsky.feed.post/3lbyephkq6k2p,"I wasn't sure, so I searched for information. There have been 1,303 cases of Whooping Cough in my state this year. Last year there were only 54 cases. Should we reject all vaccines and let the human race be wiped out by disease? Ethics have their place but so do logic and reason.",samanthacoast.bsky.social,[],0,0,0,-0.325
at://did:plc:lym6bpoztczc6pcmtcof6eyz/app.bsky.feed.post/3lbyeothk5k2f,"Okay, his own words.  He equates vaccines to the holocaust and says they cause autism.  He also, in his words, said that AIDS is not viral but from poppers and the “gay lifestyle” and anyone could be cured by stopping.  He lies like he breathes.

www.washingtonpost.com/health/2024/...",sarcasticlee.bsky.social,[],0,0,0,-0.2263
at://did:plc:m6y7jchzukoku3hkegldoc6p/app.bsky.feed.post/3lbyenkhayc2k,Saying he told people not to get vaccinated is WHOLLY misleading. He criticized the vaccine schedule for children suggesting that too many vaccines are administered too early in life. He argues for spacing out vaccines and reducing the number given to infants.,kristarichardson.bsky.social,[],0,0,0,-0.7579
at://did:plc:v4dvhpeb7vpm6m2iwyyarjw3/app.bsky.feed.post/3lbyelvv3v22s,"Maybe so, but whatever happened to informed consent?
My daughter was vaccinated at birth, and this was before we had ready access to information about vaccines.
I was not informed nor asked if I wanted to do it. If nobody in the household has hep, why vaccinate?
I only found out about it years later",funkmasterp.bsky.social,[],0,0,0,0.7149
at://did:plc:do46s3u6h22vzu6nogkm4rc7/app.bsky.feed.post/3lbyeky6luk2f,"RFK compared CDC to 'Nazi death camps' and child vaccines to church sex abuse: report 

www.rawstory.com/robert-f-ken...",googeliart.bsky.social,[],0,0,0,-0.8442
at://did:plc:taigqtxtb373uuz4ayohd74a/app.bsky.feed.post/3lbyejdogak22,"If you have data on any other routine childhood vaccines causing myocarditis, please post it. I don’t see any after doing a search.",destroymysweater.bsky.social,[],0,0,0,0.3182
at://did:plc:y5nm2ehe3d5gcso7sbpcqq3x/app.bsky.feed.post/3lbyeebaty22v,With incoming administration a pandemic like Covid will be particularly devastating to their science denying voters. The incoming government doesn't believe in masks or vaccines so they will not recommend them.,affirm-safety.bsky.social,[],1,0,0,-0.7652
at://did:plc:4jlpmmee26iem4yx5ytiruds/app.bsky.feed.post/3lbydvdb35225,"Smallpox and influenza vaccines at the very least.  Smallpox vaccines caused it more frequently than covid vaccines do.  Covid vaccine induced myocarditis is a hot topic in the public, but post-vaccine myocarditis has been a known risk and known by medical professional prior to covid.",doctorleroy.bsky.social,[],1,0,0,-0.3919
at://did:plc:t5jc6yb6et6bi3xjlclqvxfy/app.bsky.feed.post/3lbydnfekbs22,"The comments, dating back to 2013, include describing CDC as a “cesspool of corruption,” filled with profiteers, harming children in a way he likened to “Nazi death camps.” 
https://www.nbcnews.com/health/health-news/rfk-jr-vaccines-cdc-fascism-abuse-catholic-church-autism-conferences-rcna181605",erosalie.infoepi.com,[],2,0,0,-0.7906
at://did:plc:t5jc6yb6et6bi3xjlclqvxfy/app.bsky.feed.post/3lbydneskpj2n,RFK Jr. attacked the CDC’s ‘fascism’ and likened vaccinating children to abuse by the Catholic Church. https://www.nbcnews.com/health/health-news/rfk-jr-vaccines-cdc-fascism-abuse-catholic-church-autism-conferences-rcna181605,erosalie.infoepi.com,[],5,0,0,-0.802
